id,zip,lat,lng,population,timezone,city,state,type
341,01590,42.221317,-71.8669,9287,America/New_York,South Lancaster,,
342,01602,42.26559,-71.8081,25791,America/New_York,Worcester,MA,city
343,01603,42.26559,-71.8081,21034,America/New_York,Worcester,MA,city
344,01604,42.26559,-71.8081,39988,America/New_York,Worcester,MA,city
345,01605,42.26559,-71.8081,31086,America/New_York,Worcester,MA,city
346,01606,42.26559,-71.8081,22269,America/New_York,Worcester,MA,city
347,01607,42.26559,-71.8081,8755,America/New_York,Worcester,MA,city
348,01608,42.26559,-71.8081,4951,America/New_York,Worcester,MA,city
349,01609,42.26559,-71.8081,23184,America/New_York,Worcester,MA,city
350,01610,42.26559,-71.8081,28719,America/New_York,Worcester,MA,city
351,01611,42.26559,-71.8081,2401,America/New_York,Worcester,,
352,01612,42.26559,-71.8081,4996,America/New_York,Worcester,,
353,01701,42.343655,-71.43864,32270,America/New_York,Framingham,MA,city
354,01702,42.343655,-71.43864,39761,America/New_York,Framingham,MA,city
355,01718,42.343655,-71.43864,528,America/New_York,Framingham,,
356,01719,42.343655,-71.43864,5468,America/New_York,Framingham,,
357,01720,42.343655,-71.43864,23322,America/New_York,Framingham,,
358,01721,42.343655,-71.43864,18694,America/New_York,Framingham,,
359,01730,42.343655,-71.43864,14478,America/New_York,Framingham,MA,CDP
360,01731,42.343655,-71.43864,1745,America/New_York,Framingham,MA,CDP
361,01740,42.343655,-71.43864,5698,America/New_York,Framingham,,
362,01741,42.343655,-71.43864,5209,America/New_York,Framingham,,
